"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"0314127","ルドベキア種子",""
"0314128","ルピナス種子",""
"0314131","ローダンセ種子",""
"0314132","ロベリア種子",""
"0314133","わすれなぐさ種子",""
"0314999","その他の花きの種子",""
"0315","樹木・かん木・木質つる茎植物の種子",""
"03151","針葉樹の種子（外国種を除く。）",""
"031511","すぎ種子",""
"031512","ひのき種子",""
"031513","あかまつ種子",""
"031514","くろまつ種子",""
"031515","からまつ種子",""
"031516","えぞまつ種子",""
"031517","とどまつ種子",""
"031518","りゅうきゅうまつ種子",""
"031519","その他の針葉樹の種子（外国種を除く。）",""
"0315191","もみ種子",""
"0315192","ひば種子",""
"0315193","とうひ種子",""
"0315194","きたごよう種子",""
"0315195","ごようまつ種子",""
"0315199","他に分類されない針葉樹の種子（外国種を除く。）",""
"03152","外国種針葉樹の種子",""
"031521","ストローブまつ種子",""
"031522","テーダまつ種子",""
"031523","スラッシュまつ種子",""
"031524","欧州あかまつ種子",""
"031525","欧州とうひ種子",""
"031526","欧州からまつ種子",""
"031527","ダフリカからまつ種子",""
"031529","その他の外国種針葉樹の種子",""
"03153","広葉樹の種子（外国種を除く。）",""
"031531","けやき種子",""
"031532","かし種子",""
"031533","くぬぎ種子",""
"031534","はんのき種子（ごばのやまはんのきを含む。）",""
"031539","その他の広葉樹の種子（外国種を除く。）",""
"0315391","やちだも種子",""
"0315392","なら種子",""
"0315393","どろ種子",""
"0315394","やしゃぶし種子（ひめやしゃぶしを含む。）",""
"0315395","はぎ種子",""
"0315399","他に分類されない広葉樹の種子",""
"03154","外国種広葉樹の種子",""
"031541","モリシマアカシア種子",""
"031542","房アカシア種子",""
"031543","ユーカリ種子",""
"031549","その他の外国種広葉樹の種子",""
"03155","桑の種子",""
"03156","茶の種子",""
"03157","果樹の種子",""
"0315701","ゆず種子",""
"0315702","からたち種子",""
"0315703","りんご種子",""
"0315704","やまなし種子",""
"0315705","いぬなし種子",""
"0315706","まめなし種子",""
"0315707","やまがき種子",""
"0315708","まめがき種子",""
"0315711","もも種子",""
"0315712","すもも種子",""
"0315713","うめ種子",""
"0315714","あんず種子",""
"0315715","まめざくら種子",""
"0315716","マザードさくら種子",""
"0315717","びわ種子",""
"0315799","その他の果樹の種子",""
"03159","その他の樹木・かん木・木質つる茎植物の種子",""
"0316","きのこ種菌",""
"03161","しいたけ種菌",""
"03162","なめこ種菌",""
"03163","えのきたけ種菌",""
"03164","ひらたけ種菌",""
"03165","しろたもぎたけ種菌",""
"03166","まいたけ種菌",""
"03167","きくらげ種菌",""
"03168","つくりたけ（マッシュルーム）種菌",""
"03169","その他のきのこ種菌",""
"0319","その他の種子（油脂用種実を除く。）",""
"03191","ステビア種子",""
"03192","てん菜種子",""
"03193","なたね種子",""
"03199","他に分類されない種子（油脂用種実を除く。）",""
"032","油脂用種実, 油脂用堅果及び油脂用種核",""
"0321","なたね",""
"0322","ごま",""
"0323","えごま",""
"0324","あまに",""
"0325","ひまし",""
"0326","綿実",""
"0327","油脂用種実（油脂用堅果を含む。）",""
"03271","油ぎり実",""
"032711","日本種油ぎり実",""
"032712","支那種油ぎり種",""
"03272","つばき実",""
"03273","はぜ実",""
"03279","その他の油脂用種実（オリーブ種子を含む。）",""
"0328","油脂用種核",""
"03281","殻付の油脂用種核",""
"03282","殻付でない油脂用種核",""
"033","種苗",""
"0331","球根",""
"033101","アイフェイオン（花にら）球根",""
"033102","アイリス球根",""
"033103","アネモネ球根",""
"033104","アマクリナム球根",""
"033105","アマリリス球根",""
"033106","アリウム球根",""
"033107","イキシア球根",""
"033108","オキザリス球根",""
"033111","カラー球根",""
"033112","カラジウム球根",""
"033113","カンナ球根",""
"033114","グラジオラス球根",""
"033115","クロッカス球根",""
"033116","グロリオサ球根",""
"033117","サンダソニア球根",""
"033118","シラー球根",""
"033121","スノードロップ球根",""
"033122","スパラキシス球根",""
"033123","スペレケリア球根",""
"033124","すいせん球根",""
"033125","ダリア球根",""
"033126","チューリップ球根",""
"033127","ネリネ球根",""
"033128","ハエマンサス球根",""
"033131","バビアナ球根",""
